Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| VCU118FPGATestHarness                                                                         |                                                                              (top) |      86125 |      81250 |    4236 |  639 | 55741 |    169 |     37 |    0 |         45 |
|   (VCU118FPGATestHarness)                                                                     |                                                                              (top) |         64 |          0 |      64 |    0 |   149 |      0 |      0 |    0 |          0 |
|   chiptop0                                                                                    |                                                                            ChipTop |      68865 |      66411 |    2452 |    2 | 32531 |    144 |     36 |    0 |         42 |
|     (chiptop0)                                                                                |                                                                            ChipTop |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|     debug_reset_syncd_debug_reset_sync                                                        |                                            AsyncResetSynchronizerShiftReg_w1_d3_i0 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|       output_chain                                                                            |                                 AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_1241 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|     dmactiveAck_dmactiveAck                                                                   |                                                 ResetSynchronizerShiftReg_w1_d3_i0 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|       output_chain                                                                            |                                   InferredResetSynchronizerPrimitiveShiftReg_d3_i0 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|     gated_clock_debug_clock_gate                                                              |                                                                       EICG_wrapper |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|     system                                                                                    |                                                                         DigitalTop |      68862 |      66408 |    2452 |    2 | 32520 |    144 |     36 |    0 |         42 |
|       (system)                                                                                |                                                                         DigitalTop |        916 |        876 |      40 |    0 |    10 |      0 |      0 |    0 |          0 |
|       bank                                                                                    |                                                                     ScratchpadBank |        222 |        110 |     112 |    0 |   113 |     16 |      0 |    0 |          0 |
|         buffer                                                                                |                                                        TLBuffer_a28d64s4k1z3u_1229 |        131 |         19 |     112 |    0 |     6 |      0 |      0 |    0 |          0 |
|           nodeIn_d_q                                                                          |                                                Queue2_TLBundleD_a28d64s4k1z3u_1237 |         52 |          4 |      48 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (nodeIn_d_q)                                                                      |                                                Queue2_TLBundleD_a28d64s4k1z3u_1237 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                      ram_2x79_1240 |         49 |          1 |      48 |    0 |     0 |      0 |      0 |    0 |          0 |
|           nodeOut_a_q                                                                         |                                                Queue2_TLBundleA_a28d64s4k1z3u_1238 |         79 |         15 |      64 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (nodeOut_a_q)                                                                     |                                                Queue2_TLBundleA_a28d64s4k1z3u_1238 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                     ram_2x114_1239 |         73 |          9 |      64 |    0 |     0 |      0 |      0 |    0 |          0 |
|         fragmenter                                                                            |                                                        TLFragmenter_ScratchpadBank |         38 |         38 |       0 |    0 |    31 |      0 |      0 |    0 |          0 |
|           (fragmenter)                                                                        |                                                        TLFragmenter_ScratchpadBank |          4 |          4 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|           repeater                                                                            |                                                   Repeater_TLBundleA_a28d64s4k1z3u |         34 |         34 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         ram                                                                                   |                                                               TLRAM_ScratchpadBank |         54 |         54 |       0 |    0 |    76 |     16 |      0 |    0 |          0 |
|           (ram)                                                                               |                                                               TLRAM_ScratchpadBank |         38 |         38 |       0 |    0 |    76 |      0 |      0 |    0 |          0 |
|           mem                                                                                 |                                                                                mem |         16 |         16 |       0 |    0 |     0 |     16 |      0 |    0 |          0 |
|             mem_ext                                                                           |                                                                            mem_ext |         16 |         16 |       0 |    0 |     0 |     16 |      0 |    0 |          0 |
|               mem_0_0                                                                         |                                                                      split_mem_ext |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_1                                                                         |                                                                 split_mem_ext_1230 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_2                                                                         |                                                                 split_mem_ext_1231 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_3                                                                         |                                                                 split_mem_ext_1232 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_4                                                                         |                                                                 split_mem_ext_1233 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_5                                                                         |                                                                 split_mem_ext_1234 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_6                                                                         |                                                                 split_mem_ext_1235 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|               mem_0_7                                                                         |                                                                 split_mem_ext_1236 |          2 |          2 |       0 |    0 |     0 |      2 |      0 |    0 |          0 |
|       bootrom_domain                                                                          |                                                             bootromClockSinkDomain |         49 |         49 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         bootrom                                                                               |                                                                              TLROM |         49 |         49 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|       cbus                                                                                    |                                                                  PeripheryBus_cbus |       2785 |       2605 |     180 |    0 |   582 |      0 |      0 |    0 |          0 |
|         (cbus)                                                                                |                                                                  PeripheryBus_cbus |          0 |          0 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|         atomics                                                                               |                                                              TLAtomicAutomata_cbus |        405 |        405 |       0 |    0 |   208 |      0 |      0 |    0 |          0 |
|         buffer                                                                                |                                                             TLBuffer_a31d64s5k1z4u |       1075 |        955 |     120 |    0 |     6 |      0 |      0 |    0 |          0 |
|           nodeIn_d_q                                                                          |                                                     Queue2_TLBundleD_a31d64s5k1z4u |        152 |        104 |      48 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (nodeIn_d_q)                                                                      |                                                     Queue2_TLBundleD_a31d64s5k1z4u |         18 |         18 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                      ram_2x81_1228 |        135 |         87 |      48 |    0 |     0 |      0 |      0 |    0 |          0 |
|           nodeOut_a_q                                                                         |                                                     Queue2_TLBundleA_a31d64s5k1z4u |        923 |        851 |      72 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (nodeOut_a_q)                                                                     |                                                     Queue2_TLBundleA_a31d64s5k1z4u |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                           |                                                                          ram_2x119 |        920 |        848 |      72 |    0 |     0 |      0 |      0 |    0 |          0 |
|         coupler_to_bootrom                                                                    |                                              TLInterconnectCoupler_cbus_to_bootrom |        140 |        140 |       0 |    0 |    31 |      0 |      0 |    0 |          0 |
|           fragmenter                                                                          |                                                               TLFragmenter_bootrom |        140 |        140 |       0 |    0 |    31 |      0 |      0 |    0 |          0 |
|             (fragmenter)                                                                      |                                                               TLFragmenter_bootrom |          1 |          1 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|             repeater                                                                          |                                                   Repeater_TLBundleA_a17d64s5k1z3u |        139 |        139 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         coupler_to_clint                                                                      |                                                TLInterconnectCoupler_cbus_to_clint |         71 |         71 |       0 |    0 |    34 |      0 |      0 |    0 |          0 |
|           fragmenter                                                                          |                                                                 TLFragmenter_CLINT |         71 |         71 |       0 |    0 |    34 |      0 |      0 |    0 |          0 |
|             (fragmenter)                                                                      |                                                                 TLFragmenter_CLINT |          1 |          1 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|             repeater                                                                          |                                              Repeater_TLBundleA_a26d64s5k1z3u_1227 |         70 |         70 |       0 |    0 |    25 |      0 |      0 |    0 |          0 |
|         coupler_to_debug                                                                      |                                                TLInterconnectCoupler_cbus_to_debug |        606 |        606 |       0 |    0 |    36 |      0 |      0 |    0 |          0 |
|           fragmenter                                                                          |                                                                 TLFragmenter_Debug |        606 |        606 |       0 |    0 |    36 |      0 |      0 |    0 |          0 |
|             (fragmenter)                                                                      |                                                                 TLFragmenter_Debug |          1 |          1 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|             repeater                                                                          |                                                   Repeater_TLBundleA_a12d64s5k1z3u |        605 |        605 |       0 |    0 |    27 |      0 |      0 |    0 |          0 |
