CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID             ,PARTNAME           ,BOARDNAME                            ,SHORTNAME          ,ZYNQFLASHTYP  ,FPGAFLASHTYP                             ,PCB_REV  ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE ,OTHERS                     ,NOTES                   ,DESIGN   ,CONFIG_SW_EXTPLL
#1   ,TE0712-01-100-1I   ,xc7a100tfgg484-1   ,trenz.biz:te0712_100_1i:part0:1.0    ,01_100_1i_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
#2   ,TE0712-01-100-2C   ,xc7a100tfgg484-2   ,trenz.biz:te0712_100_2c:part0:1.0    ,01_100_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
#3   ,TE0712-01-100-2C3  ,xc7a100tfgg484-2   ,trenz.biz:te0712_100_2c:part0:1.0    ,01_100_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,"2.5 mm Samtec connectors" ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
#4   ,TE0712-01-200-1I   ,xc7a200tfbg484-1   ,trenz.biz:te0712_200_1i:part0:1.0    ,01_200_1i_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
#5   ,TE0712-01-200-2C   ,xc7a200tfbg484-2   ,trenz.biz:te0712_200_2c:part0:1.0    ,01_200_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
#6   ,TE0712-01-200-2C3  ,xc7a200tfbg484-2   ,trenz.biz:te0712_200_2c:part0:1.0    ,01_200_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV01    ,1GB      ,32MB       ,NA        ,"2.5 mm Samtec connectors" ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
7   ,TE0712-02-35-2I    ,xc7a35tfgg484-2    ,trenz.biz:te0712_35_2i:part0:1.0     ,02_35_2i_1gb       ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV02    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
8   ,TE0712-02-100-1I   ,xc7a100tfgg484-1   ,trenz.biz:te0712_100_1i:part0:1.0    ,02_100_1i_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV02    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
9   ,TE0712-02-100-2C   ,xc7a100tfgg484-2   ,trenz.biz:te0712_100_2c:part0:1.0    ,02_100_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV02    ,1GB      ,32MB       ,NA        ,NA                         ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
10  ,TE0712-02-100-2C3  ,xc7a100tfgg484-2   ,trenz.biz:te0712_100_2c:part0:1.0    ,02_100_2c_1gb      ,NA            ,s25fl256sxxxxxx0-spi-x1_x2_x4|SPIx4|32   ,REV02    ,1GB      ,32MB       ,NA        ,"2.5 mm Samtec connectors" ,NA                      ,TE0712   ,./misc/PLL/SI5338/te_Si5338-Registers.h
