,,,,,,,,
,,,,,,,,
,,,,,,,,
,TE0705_REV04,,,B2B,,TE0713_REV03,,
,Conn Pin name,Desig.,Pin,pin c,pin m,others,intermediate,FPGA Pin
,B2B-IO-G7_ETH-MDIO0_MGT-TX,JB1,3,JB1-3,JM1-4,---,---,W15
,B2B-IO-G7_ETH-MDIO0_MGT-TX,JB1,5,JB1-5,JM1-6,---,---,W16
,B2B-IO-G7_ETH-MDIO1_MGT-RX,JB1,9,JB1-9,JM1-10,---,---,T16
,B2B-IO-G7_ETH-MDIO1_MGT-RX,JB1,11,JB1-11,JM1-12,---,---,U16
,B2B-IO-G7_ETH-MDIO2_MGT-TX,JB1,15,JB1-15,JM1-16,---,---,Y14
,B2B-IO-G5_MIO_SD-D3_MGT-TX,JB1,18,JB1-18,JM1-17,---,---,AA13
,B2B-IO-G7_ETH-MDIO2_MGT-TX,JB1,17,JB1-17,JM1-18,---,---,W14
,B2B-IO-G5_MIO_SD-D2_MGT-TX,JB1,20,JB1-20,JM1-19,---,---,AB13
,B2B-IO-G5_MIO_SD-D1_GND,JB1,22,JB1-22,JM1-21,---,---,AA11
,B2B-IO-G7_ETH-MDIO3_MGT-RX,JB1,21,JB1-21,JM1-22,---,---,AA14
,B2B-IO-G5_MIO_SD-D0_GND,JB1,24,JB1-24,JM1-23,---,---,AA10
,B2B-IO-G7_ETH-MDIO3_MGT-RX,JB1,23,JB1-23,JM1-24,---,---,Y13
,B2B-IO-G5_MIO_SD-CMD_MGT-RX,JB1,26,JB1-26,JM1-25,---,---,V10
,B2B-IO-G5_MIO_SD-CLK_MGT-RX,JB1,28,JB1-28,JM1-27,---,---,W10
,B2B-IO-G1,JB1,32,JB1-32,JM1-31,---,---,E22
,B2B-IO-G1,JB1,34,JB1-34,JM1-33,---,---,D22
,B2B-IO-G1,JB1,36,JB1-36,JM1-35,---,---,G22
,B2B-IO-G1,JB1,35,JB1-35,JM1-36,---,---,B20
,B2B-IO-G1,JB1,38,JB1-38,JM1-37,---,---,G21
,B2B-IO-G1,JB1,37,JB1-37,JM1-38,---,---,A20
,B2B-IO-G1,JB1,39,JB1-39,JM1-40,---,---,C20
,B2B-IO-G1,JB1,42,JB1-42,JM1-41,---,---,E21
,B2B-IO-G1,JB1,41,JB1-41,JM1-42,---,---,D20
,B2B-IO-G1,JB1,44,JB1-44,JM1-43,---,---,D21
,B2B-IO-G1,JB1,46,JB1-46,JM1-45,---,---,F18
,B2B-IO-G1,JB1,45,JB1-45,JM1-46,---,---,A19
,B2B-IO-G1,JB1,48,JB1-48,JM1-47,---,---,E18
,B2B-IO-G1,JB1,47,JB1-47,JM1-48,---,---,A18
,B2B-IO-G1,JB1,50,JB1-50,JM1-49,---,---,C22
,B2B-IO-G1,JB1,49,JB1-49,JM1-50,---,---,F20
,B2B-IO-G1,JB1,52,JB1-52,JM1-51,---,---,B22
,B2B-IO-G1,JB1,51,JB1-51,JM1-52,---,---,F19
,B2B-IO-G1,JB1,56,JB1-56,JM1-55,---,---,B21
,B2B-IO-G1,JB1,55,JB1-55,JM1-56,---,---,A16
,B2B-IO-G1,JB1,58,JB1-58,JM1-57,---,---,A21
,B2B-IO-G1,JB1,57,JB1-57,JM1-58,---,---,A15
,B2B-IO-G1,JB1,60,JB1-60,JM1-59,---,---,C18
,B2B-IO-G1,JB1,59,JB1-59,JM1-60,---,---,B16
,B2B-IO-G1,JB1,62,JB1-62,JM1-61,---,---,C19
,B2B-IO-G1,JB1,61,JB1-61,JM1-62,---,---,B15
,B2B-IO-G1,JB1,66,JB1-66,JM1-65,---,---,E19
,B2B-IO-G1,JB1,65,JB1-65,JM1-66,---,---,B17
,B2B-IO-G1,JB1,68,JB1-68,JM1-67,---,---,D19
,B2B-IO-G1,JB1,67,JB1-67,JM1-68,---,---,B18
,B2B-IO-G1,JB1,70,JB1-70,JM1-69,---,---,C15
,B2B-IO-G1,JB1,69,JB1-69,JM1-70,---,---,A14
,B2B-IO-G1,JB1,72,JB1-72,JM1-71,---,---,C14
,B2B-IO-G1,JB1,71,JB1-71,JM1-72,---,---,A13
,B2B-IO-G1,JB1,76,JB1-76,JM1-75,---,---,D17
,B2B-IO-G1,JB1,75,JB1-75,JM1-76,---,---,D16
,B2B-IO-G1,JB1,78,JB1-78,JM1-77,---,---,C17
,B2B-IO-G1,JB1,77,JB1-77,JM1-78,---,---,E16
,B2B-IO-G1,JB1,79,JB1-79,JM1-80,---,---,E17
,B2B-IO-G1,JB1,82,JB1-82,JM1-81,---,---,B13
,B2B-IO-G1,JB1,81,JB1-81,JM1-82,---,---,F16
,B2B-IO-G1,JB1,84,JB1-84,JM1-83,---,---,C13
,B2B-IO-G6_MIO_UART-TX,JB1,86,JB1-86,JM1-85,---,---,U18
,B2B-IO-G1,JB1,85,JB1-85,JM1-86,---,---,D15
,B2B-IO-G6_MIO,JB1,88,JB1-88,JM1-87,---,---,U17
,B2B-IO-G1,JB1,87,JB1-87,JM1-88,---,---,D14
